"Dstat 0.9.10 CSV output"
"Author:","XXXXX",,,,"URL:","XXXXX"
"Host:","XXXXX",,,,"User:","XXXXX"
"Cmdline:","dstat --postgresql-time -a -s -i -r --aio --fs --ipc --lock --raw --socket --tcp --udp --unix --vm --vm-adv --zones --postgresql-conn --postgresql-lockwaits --postgresql-settings --output ./metricsx.csv --noupdate 5",,,,"Date:","07 Dec 2023 22:17:27 CST"
"postgresql locks","total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"swap",,"interrupts",,,"io/total",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"raw","sockets",,,,,"tcp sockets",,,,,"udp",,"unix sockets",,,,"virtual memory",,,,"advanced virtual memory",,,,,"zones memory",,,,"postgresql conn",,,,,,,,,,,,,"postgresql lockswaits","postgresql settings",,,,,,,,,,,,,"postgresql all",,,,,,,,,,,,
"Time","usr","sys","idl","wai","stl","read","writ","recv","send","in","out","used","free","buff","cach","int","csw","run","blk","new","1m","5m","15m","used","free","160","161","297","read","writ","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","raw","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","steal","scanK","scanD","pgoru","astll","d32F","d32H","normF","normH","Conn","%Con","Act","LongQ","LongX","Idl","LIdl","LWait","SQLs1","SQLs3","SQLs5","Xact1","Xact3","Locks","shared_buffers","work_mem","bgwriter_delay","max_connections","autovacuum_work_mem","temp_buffers","autovacuum_max_workers","maintenance_work_mem","checkpoint_timeout","max_wal_size","checkpoint_completion_target","wal_keep_segments","wal_segment_size","clean","back","alloc","heapr","heaph","ratio","size","grow","insert","update","delete","comm","roll"
1701958693,0.261,0.181,98.360,1.198,0,4135321.600,32222412.800,7541.400,7527,0,0,109586812928,109308538880,4460695552,371585634304,5834.200,10673.600,2,1,6.200,1.590,1.110,2.260,4407582720,55590359040,0,0,0,251.200,107.200,10344,33984,1391165,0,0,1,100,29,1,129,0,12237,15,1,0,0,4,13,0,0,0,0,1,0,2,2,0,0,9506.400,15754.400,3977.400,0,0,0,0,0,275182,445,13541180,71235,11,0.011,2,1,1,4,0,1,2,2,1,2,2,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2581681,12469421,20997757,0,740,1.000,86446037516,8745779.200,0,0,0,19,5
1701958698,0.313,0.186,98.504,0.997,0,4785766.400,22988390.400,7541.400,7513.800,0,0,109696184320,109010841600,4460695552,371879989248,5869.200,10750.800,4,1,6.400,1.630,1.120,2.260,4407582720,55590359040,0,0,0,276,79.200,10344,33984,1391167,0,0,1,100,29,1,129,0,12239,15,1,0,0,4,13,0,0,0,0,1,0,2,2,0,0,10052.800,18280,3817.800,0,0,0,0,0,274717,445,13512812,71235,11,0.011,2,1,1,4,0,1,2,2,1,2,2,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2581681,12469421,21010643,0,739,1.000,86496352780,10063052.800,0,0,0,19,5
1701958703,0.275,0.167,98.429,1.130,0,4341760,32123289.600,7528.200,7513.800,0,0,109795364864,108747976704,4460695552,372136611840,5813.200,10699.400,4,1,6,1.660,1.140,2.250,4407582720,55590359040,0,0,0,228,103,10344,33984,1391161,0,0,1,100,29,1,129,0,12239,15,1,0,0,4,13,0,0,0,0,1,0,2,2,0,0,9651.200,16675.200,3933.800,0,0,0,0,0,274252,445,13486667,71235,11,0.011,2,1,1,4,0,1,2,2,1,2,2,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2581681,12469421,21021862,0,739,1.000,86541203980,8970240,0,0,0,19,5
1701958708,0.209,0.159,98.097,1.535,0,3709337.600,30360371.200,7528.200,7513.800,0,0,109879267328,108541202432,4460695552,372337356800,5694.400,10521.600,7,1,6.600,1.600,1.140,2.250,4407582720,55590359040,0,0,0,223.400,95,10344,33984,1391161,0,0,1,100,29,1,129,0,12239,15,1,0,0,4,13,0,0,0,0,1,0,2,2,0,0,8796.600,13773,3894,0,0,0,0,0,273880,445,13471538,71235,12,0.012,2,1,1,4,0,1,2,2,1,2,2,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2581681,12469421,21031245,0,733,1.000,86577461772,7251558.400,0,0,0,17,5
1701958713,0.303,0.209,98.552,0.937,0,5152768,23451238.400,7595.400,7559.400,0,0,109982879744,108260044800,4460695552,372620832768,6063.600,10799.800,5,1,7.800,1.640,1.150,2.250,4407582720,55590359040,0,0,0,271,81.600,10344,33984,1391082,0,0,1,100,29,1,129,0,12237,13,1,0,0,4,11,0,0,0,0,1,0,2,2,0,0,10583.200,17967,4081.800,0,0,0,0,0,273672,445,13424268,71235,11,0.011,2,1,1,4,0,1,2,2,1,2,2,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2581681,12469421,21044462,0,739,1.000,86629562892,10420224,0,0,0,19,5
1701958718,0.204,0.173,97.968,1.654,0,3104768,26226688,7528.200,7513.800,0,0,110048014336,108076322816,4460695552,372804874240,6097.400,10789.800,4,2,7,1.750,1.180,2.250,4407582720,55590359040,0,0,0,173.200,93.600,10344,33984,1391081,0,0,1,100,29,1,129,0,12236,13,1,0,0,4,11,0,0,0,0,1,0,2,2,0,0,8470.600,13215.600,4113.600,0,0,0,0,0,273594,445,13379024,71235,11,0.011,2,1,1,4,0,1,2,2,1,2,2,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2581681,12469421,21052317,0,679,1.000,86660921868,6271795.200,0,0,0,19,5
1701958723,0.254,0.165,98.459,1.122,0,3961651.200,29228236.800,7554.600,7513.800,0,0,110133338112,107842379776,4460695552,373035118592,5996.800,10663.800,2,1,7.400,1.850,1.210,2.250,4407582720,55590359040,0,0,0,211.200,92,10344,34176,1391076,0,0,1,100,29,1,129,0,12237,13,1,0,0,4,11,0,0,0,0,1,0,2,2,0,0,9183.400,15386.600,4175.400,0,0,0,0,0,273594,445,13323004,71235,11,0.011,2,1,1,4,0,1,2,2,1,2,2,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2581681,12469421,21062369,0,740,1.000,86700562956,7928217.600,0,0,0,19,5
1701958728,0.286,0.173,98.405,1.136,0,4377804.800,27951104,7338.200,7350.200,0,0,110230761472,107585556480,4460695552,373284614144,6024.800,10702.200,2,3,7,1.860,1.220,2.250,4407582720,55590359040,0,0,0,240.800,90.800,10344,34176,1391076,0,0,1,100,29,1,129,0,12239,13,1,0,0,4,11,0,0,0,0,1,0,2,2,0,0,9178.600,16118.600,3623.200,0,0,0,0,0,273594,445,13260647,71235,12,0.012,3,1,1,3,0,1,2,2,1,2,2,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2581681,12469421,21073388,0,733,1.000,86743677452,8622899.200,0,0,0,17,5
1701958733,0.269,0.185,98.344,1.202,0,4644864,24178688,7705,7703.800,0,0,110324232192,107315023872,4460695552,373554524160,5844,11238,4,2,6.400,1.790,1.220,2.250,4407582720,55590359040,0,0,0,246.600,82.400,10344,34176,1391065,0,0,1,100,29,1,129,0,12239,13,1,0,0,4,11,0,0,0,0,1,0,2,2,0,0,10042.600,17304.400,4046.600,0,0,0,0,0,272757,445,13249518,71235,11,0.011,2,1,1,4,0,1,2,2,1,2,2,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2581681,12469421,21085022,0,745,1.000,86789167628,9098035.200,0,0,0,21,5
1701958738,0.228,0.171,98.422,1.179,0,4055040,30392320,7554.600,7513.800,0,0,110412472320,107072643072,4460695552,373789347840,5670.200,11346.800,3,1,6.600,1.810,1.230,2.250,4407582720,55590359040,0,0,0,224.200,96.600,10344,34176,1391052,0,0,1,100,29,1,129,0,12237,13,1,0,0,4,11,0,0,0,0,1,0,2,2,0,0,9197.200,15797,4034.800,0,0,0,0,0,271827,445,13250585,71235,11,0.011,2,1,1,4,0,1,2,2,1,2,2,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2581681,12469421,21095208,0,733,1.000,86830012940,8169062.400,0,0,0,17,5
