"Dstat 0.9.10 CSV output"
"Author:","XXXXX",,,,"URL:","XXXXX"
"Host:","XXXXX",,,,"User:","XXXXX"
"Cmdline:","dstat --postgresql-time -a -s -i -r --aio --fs --ipc --lock --raw --socket --tcp --udp --unix --vm --vm-adv --zones --postgresql-conn --postgresql-lockwaits --postgresql-settings --output ./metricsx.csv --noupdate 5",,,,"Date:","07 Dec 2023 16:50:05 CST"
"postgresql locks","total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"swap",,"interrupts",,,"io/total",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"raw","sockets",,,,,"tcp sockets",,,,,"udp",,"unix sockets",,,,"virtual memory",,,,"advanced virtual memory",,,,,"zones memory",,,,"postgresql conn",,,,,,,,,,,,,"postgresql lockswaits","postgresql settings",,,,,,,,,,,,,"postgresql all",,,,,,,,,,,,
"Time","usr","sys","idl","wai","stl","read","writ","recv","send","in","out","used","free","buff","cach","int","csw","run","blk","new","1m","5m","15m","used","free","160","161","297","read","writ","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","raw","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","steal","scanK","scanD","pgoru","astll","d32F","d32H","normF","normH","Conn","%Con","Act","LongQ","LongX","Idl","LIdl","LWait","SQLs1","SQLs3","SQLs5","Xact1","Xact3","Locks","shared_buffers","work_mem","bgwriter_delay","max_connections","autovacuum_work_mem","temp_buffers","autovacuum_max_workers","maintenance_work_mem","checkpoint_timeout","max_wal_size","checkpoint_completion_target","wal_keep_segments","wal_segment_size","clean","back","alloc","heapr","heaph","ratio","size","grow","insert","update","delete","comm","roll"
1701939051,0.088,0.125,86.025,13.762,0,642252.800,89292.800,13068.600,16188,0,0,108908654592,123116793856,4460449792,357797933056,7357.800,12437.400,2,19,4.800,10.770,4.120,4.410,4411281408,55586660352,0,0,0,73,8.400,10344,33024,1391719,0,0,1,100,29,1,129,0,12268,42,1,0,0,4,40,0,0,0,0,1,0,2,2,0,0,3565.800,3040.800,2552.800,0,0,0,0,0,265549,445,15199123,71235,41,0.040,32,5,5,3,0,5,31,29,22,31,31,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12388669,15129980,0,330,1.000,85793110540,0,0.800,2.400,0,13,3
1701939056,0.348,0.371,86.248,13.032,0,1671987.200,700416,21672.400,24959.800,0,0,109316026368,122701721600,4460449792,358209908736,9779.400,48812.400,4,24,27,11.910,4.460,4.520,4411281408,55586660352,0,0,0,185.800,27,10344,33024,1391688,0,0,1,100,29,1,129,0,12266,42,1,0,0,4,40,0,0,0,0,1,0,2,2,0,0,58614.400,26884.400,6238.200,0,0,0,0,0,265549,445,15104692,71235,40,0.039,31,1,1,4,0,1,13,8,6,17,16,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12388669,15150234,0,451,1.000,85793192460,16384,26.400,26,0,36,3
1701939061,0.943,0.250,91.418,7.389,0,1374617.600,867532.800,34755,51868.600,0,0,109522276352,122487771136,4460449792,358426726400,6323.800,31338.400,5,21,6,12.960,4.800,4.630,4411281408,55586660352,0,0.400,0,156.600,39.400,10344,32832,1391682,0,0,1,100,29,1,129,0,12266,42,1,0,0,4,40,0,0,0,0,1,0,2,2,0,0,29845.200,14711.200,4433.800,0,0,0,0,0,265379,445,15080753,71235,40,0.039,27,0,10,8,0,0,5,4,3,22,19,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12388669,15178859,0,740,1.000,85793274380,16384,30.400,35,0.800,47,6
1701939066,1.917,0.152,91.250,6.681,0,1418854.400,1162444.800,42822.600,59625.600,0,0,109532487680,122470629376,4460449792,358440587264,6807.600,11937.200,3,24,6.800,14,5.160,4.750,4411281408,55586660352,0,0,0,168.400,44.400,10344,32832,1391688,0,0,1,100,29,1,129,0,12266,42,1,0,0,4,40,0,0,0,0,1,0,2,2,0,0,6212,5400.200,4433.800,0,0,0,0,0,265450,445,15078956,71235,40,0.039,24,0,10,11,0,0,8,6,3,25,19,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12388669,15179667,0,355,1.000,85793380876,21299.200,37.800,65,2,47,3
1701939071,2.131,0.131,91.072,6.666,0,1423769.600,1066598.400,40033.600,54743.800,0,0,109542457344,122452959232,4460449792,358456758272,6808.200,11874.400,1,20,6.400,14.800,5.470,4.850,4411281408,55586660352,0,0,0,170.800,39.600,10344,32832,1391687,0,0,1,100,29,1,129,0,12265,42,1,0,0,4,40,0,0,0,0,1,0,2,2,0,0,5776.600,5338.800,4545.200,0,0,0,0,0,265450,445,15078937,71235,40,0.039,24,2,12,11,0,2,7,7,5,28,21,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12388669,15180637,0,1063,1.000,85793487372,21299.200,38.400,62.600,2,57,7
1701939076,2.021,0.142,91.038,6.799,0,1476198.400,1028915.200,37593,52747.400,0,0,109555605504,122432446464,4460449792,358471053312,6711.600,11879.800,1,23,6.800,15.940,5.860,4.980,4411281408,55586660352,0,0,0,177,38.400,10344,32832,1391687,0,0,1,100,29,1,129,0,12265,42,1,0,0,4,40,0,0,0,0,1,0,2,2,0,0,6216.400,5598.600,4790.600,0,0,0,0,0,265525,445,15078803,71235,40,0.039,27,3,13,8,0,3,7,7,6,25,22,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12388669,15181550,0,735,1.000,85793585676,19660.800,38.600,62.800,2,45,5
1701939081,1.996,0.146,91.390,6.468,0,1454899.200,1024819.200,37923.400,55264.400,0,0,109561774080,122416267264,4460449792,358487224320,6774.600,11850.600,9,21,7.200,16.590,6.160,5.080,4411281408,55586660352,0,0,0,174,36.400,10344,32832,1391682,0,0,1,100,29,1,129,0,12266,42,1,0,0,4,40,0,0,0,0,1,0,2,2,0,0,5739.200,5159.200,4502.200,0,0,0,0,0,265525,445,15078796,71235,40,0.039,26,4,14,9,0,4,8,7,6,27,19,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12388669,15182466,0,741,1.000,85793683980,19660.800,30,127.200,8,57,5
1701939086,1.874,0.134,91.267,6.725,0,1220608,892928,31931.800,44971.800,0,0,109570113536,122402537472,4460449792,358499545088,6601,11680.800,5,25,6.400,17.180,6.460,5.190,4411281408,55586660352,0,0,0,144.400,38,10344,32640,1391682,0,0,1,100,29,1,129,0,12266,42,1,0,0,4,40,0,0,0,0,1,0,2,2,0,0,5733.800,5159.800,4471,0,0,0,0,0,265525,445,15078806,71235,40,0.039,27,5,15,8,0,5,10,8,7,27,23,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12388669,15183217,0,740,1.000,85793790476,21299.200,30,58,2.800,48,5
1701939091,1.212,0.119,90.417,8.252,0,2121728,613580.800,27025.600,36108.400,0,0,109582802944,122377527296,4460449792,358522646528,6562.600,11572.800,5,24,6.600,17.730,6.750,5.290,4411281408,55586660352,0,0,0,252.400,18.400,10344,32640,1391688,0,0,1,100,29,1,129,0,12266,42,1,0,0,4,40,0,0,0,0,1,0,2,2,0,0,5021,4483.600,3386.800,0,0,0,0,0,265596,445,15077892,71235,40,0.039,28,1,11,7,0,1,13,3,2,22,21,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12388669,15184531,0,663,1.000,85794028044,47513.600,20,21,0,33,5
1701939096,1.800,0.156,91.421,6.622,0,1651507.200,1041203.200,43456,60543.200,0,0,109598130176,122352189440,4460449792,358540357632,7396.600,12411,2,14,5.600,17.670,6.920,5.350,4411281408,55586660352,0,0,0,196.600,23.400,10344,32640,1391705,0,0,1,100,29,1,129,0,12265,42,1,0,0,4,40,0,0,0,0,1,0,2,2,0,0,4949,5016.400,3867.400,0,0,0,0,0,265596,445,15075736,71235,41,0.040,25,0,10,10,0,0,6,1,0,11,11,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12388669,15185530,0,723,1.000,85794200076,34406.400,33.600,153.800,10,46,5
1701939101,2.010,0.138,91.762,6.091,0,1168179.200,688947.200,36779.400,53893.200,0,0,109601349632,122345119744,4460449792,358551908352,7457.200,12299.400,0,2,4.400,17.610,7.090,5.410,4411281408,55586660352,0,0,0,140.400,22.800,10344,32640,1391689,0,0,1,100,29,1,129,0,12266,42,1,0,0,4,40,0,0,0,0,1,0,2,2,0,0,4420,4122.600,3714.200,0,0,0,0,0,265739,445,15076674,71235,41,0.040,24,0,10,11,0,0,10,1,0,31,11,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12388669,15186283,0,668,1.000,85794331148,26214.400,20,46,2,35,6
1701939106,1.917,0.163,91.901,6.019,0,1159987.200,1307443.200,46488.400,71484.600,0,0,109577355264,122362462208,4460449792,358565421056,7019.800,12194,2,21,8.800,18.530,7.450,5.540,4411281408,55586660352,0,0,0,137.200,39.800,10344,32640,1391676,0,0,1,100,29,1,129,0,12266,40,1,0,0,4,38,0,0,0,0,1,0,2,2,0,0,7168.200,6422,6061,0,0,0,0,0,265945,445,15080000,71235,38,0.037,22,0,8,11,0,0,3,2,0,22,14,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12388669,15187016,0,748,1.000,85794478604,29491.200,66.800,75.400,0,83,5
1701939111,0.184,0.221,92.312,7.284,0,1364787.200,1640038.400,68191.800,89757.800,0,0,109569740800,122362376192,4460449792,358580051968,6636.200,12676.400,1,18,8,18.560,7.640,5.610,4411281408,55586660352,0,0,0,162,41.800,10344,32640,1391650,0,0,1,100,29,1,129,0,12258,32,1,0,0,4,30,0,0,0,0,1,0,2,2,0,0,7192,6364,6860.400,0,0,0,0,0,265852,445,15080698,71235,30,0.029,21,0,0,4,0,0,3,2,0,13,4,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12388669,15187861,0,748,1.000,85794658828,36044.800,85.400,169.200,6.800,101,5
1701939116,0.127,0.173,92.892,6.808,0,1276313.600,1459814.400,52653.600,65261.400,0,0,109574942720,122348703744,4460449792,358593142784,6239.200,12252.200,1,19,6.400,18.440,7.800,5.670,4411281408,55586660352,0,0,0,151.400,40.400,10344,32640,1391638,0,0,1,100,29,1,129,0,12256,32,1,0,0,4,30,0,0,0,0,1,0,2,2,0,0,5851,5508.200,4826,0,0,0,0,0,265852,445,15081542,71235,30,0.029,21,0,0,4,0,0,6,5,4,12,8,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12388669,15188628,0,740,1.000,85794806284,29491.200,64,121.400,4,82,5
1701939121,0.119,0.121,90.971,8.790,0,2134835.200,714342.400,29211,37096.200,0,0,109587615744,122325250048,4460449792,358615474176,6306.200,11868,1,14,4.600,17.920,7.870,5.710,4411281408,55586660352,0,0,0,253,21.800,10344,32640,1391626,0,0,1,100,29,1,129,0,12255,32,1,0,0,4,30,0,0,0,0,1,0,2,2,0,0,4586.400,4433.400,3379.800,0,0,0,0,0,265780,445,15080821,71235,30,0.029,21,0,0,4,0,0,12,8,5,21,20,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12388669,15189905,0,661,1.000,85794888204,16384,12,87.800,6,27,6
1701939126,0.073,0.098,88.998,10.831,0,987955.200,199884.800,16189.800,19341,0,0,109599232000,122309783552,4460449792,358624714752,7165.200,12392.800,6,18,4.200,18.650,8.190,5.820,4411281408,55586660352,0,0,0,117.800,12.200,10344,32640,1391652,0,0,1,100,29,1,129,0,12259,33,1,0,0,4,30,0,0,0,0,1,0,2,2,0,0,3190.400,3115,2357.600,0,0,0,0,0,265687,445,15080683,71235,31,0.030,22,0,1,3,0,0,10,1,1,15,13,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12388669,15190502,0,730,1.000,85794929164,8192,18.400,41.200,2,28,6
1701939131,0.090,0.145,89.165,10.600,0,316211.200,639795.200,21834.600,25052,0,0,109602607104,122304868352,4460449792,358627024896,7117.400,12049.200,1,18,4.800,18.600,8.350,5.890,4411281408,55586660352,0,0,0,35.400,22.800,10344,32640,1391634,0,0,1,100,29,1,129,0,12256,32,1,0,0,4,30,0,0,0,0,1,0,2,2,0,0,4141.800,3334.600,3413.600,0,0,0,0,0,265687,445,15079560,71235,31,0.030,22,0,0,3,0,0,1,1,0,1,1,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12388669,15190670,0,343,1.000,85794994700,13107.200,29,62.400,2.800,42,2
1701939136,0.127,0.171,92.932,6.769,0,1246822.400,1218150.400,49232.400,64822.800,0,0,109606268928,122295046144,4460449792,358640115712,6734.600,12291.600,2,20,5.800,17.350,8.260,5.870,4411281408,55586660352,0,0,0,145.800,29.400,10344,32640,1391631,0,0,1,100,29,1,129,0,12256,32,1,0,0,4,30,0,0,0,0,1,0,2,2,0,0,5301.400,5218.800,4576.600,0,0,0,0,0,265687,445,15079765,71235,30,0.029,21,0,0,4,0,0,1,1,0,7,1,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12388669,15191410,0,734,1.000,85795117580,24576,48.800,98,4,61,6
1701939141,0.146,0.173,91.293,8.388,0,1173094.400,1201766.400,58623,81724,0,0,109610565632,122283819008,4460449792,358650126336,6394.600,12341.800,1,17,7.600,17.320,8.410,5.930,4411281408,55586660352,0,0,0,134.800,36.600,10344,32640,1391625,0,0,1,100,29,1,129,0,12256,32,1,0,0,4,30,0,0,0,0,1,0,2,2,0,0,5904.800,5664.800,5038.200,0,0,0,0,0,265615,445,15079895,71235,31,0.030,22,0,0,4,0,0,4,2,1,15,3,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12388669,15192092,0,733,1.000,85795363340,49152,77.600,81.200,0,77,6
1701939146,0.232,0.311,91.230,8.226,0,1358233.600,1610547.200,62024,82976.600,0,0,109622853632,122264166400,4460449792,358665961472,8480.400,14137.600,4,19,111,17.620,8.620,6.010,4411281408,55586660352,0,0,0,159.200,42,10344,32640,1391807,0,0,1,100,29,1,129,0,12264,32,1,0,0,4,30,0,0,0,0,1,0,2,2,0,0,25501.400,18185.400,17117.600,0,0,0,0,0,265376,445,15081390,71235,30,0.029,21,0,0,4,0,0,5,4,1,14,6,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12388669,15192900,0,362,1.000,85795535372,34406.400,81.800,138,4.800,86,3
1701939151,0.208,0.277,91.539,7.976,0,1495859.200,1315635.200,60720.600,76891.200,0,0,109625319424,122251255808,4460449792,358683336704,7803.200,13434.600,1,8,57,17.490,8.740,6.070,4411281408,55586660352,0,0,0,177.400,42,10344,32448,1391730,0,0,1,100,29,1,129,0,12257,32,1,0,0,4,30,0,0,0,0,1,0,2,2,0,0.200,16824.800,12506.600,11807,0,0,0,0,0,265215,445,15080532,71235,31,0.030,22,1,1,3,0,1,5,5,4,20,8,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12388669,15193843,0,1059,1.000,85795871244,67174.400,62,110,4,79,7
1701939156,0.142,0.205,92.990,6.663,0,1592524.800,869990.400,44724.400,56780.200,0,0,109629911040,122238193664,4460449792,358699507712,7121.200,12827.600,2,3,24.400,17.450,8.880,6.130,4411281408,55586660352,0.200,0,0,189.800,23,10344,32448,1391639,0,0,1,100,29,1,129,0,12256,32,1,0,0,4,30,0,0,0,0,1,0,2,2,0,0,8761.800,7287.600,6759,0,0,0,0,0,265215,445,15081313,71235,31,0.030,21,0,0,4,0,0,17,1,0,20,1,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12388669,15194819,0,740,1.000,85796010508,27852.800,55.200,154.200,8.800,75,5
1701939161,0.125,0.158,92.663,7.054,0,1292697.600,1163264,38775.600,47804.200,0,0,109636292608,122225217536,4460449792,358712262656,6456.200,11961.600,0,18,5.400,17.090,8.950,6.160,4411281408,55586660352,0,0,0,155.600,37.200,10344,32448,1391632,0,0,1,100,29,1,129,0,12256,32,1,0,0,4,30,0,0,0,0,1,0,2,2,0,0,4883.200,4761.600,4009,0,0,0,0,0,265143,445,15081834,71235,30,0.029,21,0,0,4,0,0,1,1,0,1,1,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12388669,15195618,0,728,1.000,85796133388,24576,61.800,71.400,0,79,5
1701939166,0.132,0.175,92.725,6.968,0,1091174.400,1129676.800,49380,63754.600,0,0,109644345344,122210234368,4460449792,358724583424,6466.200,12124.600,1,10,7.600,16.120,8.880,6.160,4411281408,55586660352,0,0,0,126.400,29.400,10344,32448,1391644,0,0,1,100,29,1,129,0,12258,32,1,0,0,4,30,0,0,0,0,1,0,2,2,0,0,5775,5460.600,4857.400,0,0,0,0,0,265052,445,15080490,71235,30,0.029,21,0,0,4,0,0,1,1,0,16,1,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12388669,15196257,0,355,1.000,85796289036,31129.600,38.400,68.800,2,51,3
1701939171,1.603,0.250,91.598,6.549,0,1089536,1052672,41263.400,54731,0,0,109686546432,122157252608,4460449792,358740754432,7474.600,12331.600,12,20,10.600,16.270,9.030,6.220,4411281408,55586660352,0.200,0,0,125.800,28.200,10344,32448,1392685,0,0,1,100,29,1,129,0,12269,42,1,0,0,4,40,0,0,0,0,1,0,2,2,0,0,24566.400,7255.600,4961.200,0,0,0,0,0,265124,445,15071196,71235,41,0.040,30,0,0,5,0,0,1,1,0,11,11,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12388669,15196985,0,1103,1.000,85796928012,127795.200,62.800,133,6.800,67,7
1701939176,1.947,0.138,90.490,7.425,0,1448345.600,954368,36033.600,52527.200,0,0,109691535360,122143911936,4460449792,358757412864,7173,11882,3,27,5.600,16.090,9.110,6.260,4411281408,55586660352,0,0,0,174.200,27.600,10344,32448,1392675,0,0,1,100,29,1,129,0,12269,42,1,0,0,4,40,0,0,0,0,1,0,2,2,0,0,5115.800,4991.400,4215,0,0,0,0,0,265107,445,15068246,71235,40,0.039,29,0,0,6,0,0,1,1,0,11,11,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12388669,15197933,0,733,1.000,85796993548,13107.200,35.200,61.200,2,50,5
1701939181,1.900,0.154,88.448,9.498,0,1345126.400,1064140.800,60958.200,92070.600,0,0,109681741824,122140434432,4460449792,358777421824,7289,12446.400,6,23,7.200,16.160,9.250,6.320,4411281408,55586660352,0,0,0,159.800,34.600,10344,32448,1392682,0,0,1,100,29,1,129,0,12266,42,1,0,0,4,40,0,0,0,0,1,0,2,2,0,0,5975.800,6157.600,5081,0,0,0,0,0,264898,445,15067266,71235,41,0.040,30,0,0,6,0,0,7,5,0,23,15,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12388669,15198782,0,733,1.000,85797222924,45875.200,71,81.800,0,92,5
1701939186,1.802,0.163,88.161,9.875,0,1289420.800,1180467.200,55422,80232.400,0,0,109687144448,122121940992,4460449792,358795902976,7055.800,12244.400,1,19,5.800,16.950,9.520,6.430,4411281408,55586660352,0,0,0,147.400,43.600,10344,32448,1392663,0,0,1,100,29,1,129,0,12266,42,1,0,0,4,40,0,0,0,0,1,0,2,2,0,0,5721.200,5781.400,4971.600,0,0,0,0,0,264898,445,15062004,71235,40,0.039,22,0,10,13,0,0,8,7,5,23,17,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12388669,15199539,0,362,1.000,85797370380,29491.200,75.600,80.200,0.800,77,4
