"Dstat 0.9.10 CSV output"
"Author:","XXXXX",,,,"URL:","XXXXX"
"Host:","XXXXX",,,,"User:","XXXXX"
"Cmdline:","dstat --postgresql-time -a -s -i -r --aio --fs --ipc --lock --raw --socket --tcp --udp --unix --vm --vm-adv --zones --postgresql-conn --postgresql-lockwaits --postgresql-settings --output ./metricsx.csv --noupdate 5",,,,"Date:","07 Dec 2023 19:17:15 CST"
"postgresql locks","total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"swap",,"interrupts",,,"io/total",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"raw","sockets",,,,,"tcp sockets",,,,,"udp",,"unix sockets",,,,"virtual memory",,,,"advanced virtual memory",,,,,"zones memory",,,,"postgresql conn",,,,,,,,,,,,,"postgresql lockswaits","postgresql settings",,,,,,,,,,,,,"postgresql all",,,,,,,,,,,,
"Time","usr","sys","idl","wai","stl","read","writ","recv","send","in","out","used","free","buff","cach","int","csw","run","blk","new","1m","5m","15m","used","free","160","161","297","read","writ","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","raw","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","steal","scanK","scanD","pgoru","astll","d32F","d32H","normF","normH","Conn","%Con","Act","LongQ","LongX","Idl","LIdl","LWait","SQLs1","SQLs3","SQLs5","Xact1","Xact3","Locks","shared_buffers","work_mem","bgwriter_delay","max_connections","autovacuum_work_mem","temp_buffers","autovacuum_max_workers","maintenance_work_mem","checkpoint_timeout","max_wal_size","checkpoint_completion_target","wal_keep_segments","wal_segment_size","clean","back","alloc","heapr","heaph","ratio","size","grow","insert","update","delete","comm","roll"
1701947881,0.393,0.498,97.193,1.916,0,21456486.400,2017689.600,106672.600,123097.800,0,0,109174743040,108272316416,4460584960,372387057664,7224.800,33891.800,4,3,9.800,2.280,3.330,5.950,4407582720,55590359040,0,0,0,162.200,55.400,10344,32256,1391895,0,0,1,100,29,1,129,0,12266,43,1,0,0,4,41,0,0,0,0,1,0,2,2,0,0,37330.600,26401.200,6778.400,0,0,0,0,0,265074,445,13571734,71235,40,0.039,13,0,0,4,0,0,11,11,0,11,11,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12434773,17689080,0,406,1.000,85912689164,42598.400,104.800,284.600,14,116,5
1701947886,0.286,0.342,96.610,2.762,0,23828889.600,2040627.200,90003.600,108244.600,0,0,109318225920,108004323328,4460584960,372647628800,6845.600,22265,2,2,6.600,2.500,3.360,5.950,4407582720,55590359040,0,0.200,0,168,58.800,10344,32256,1391896,0,0,1,100,29,1,129,0,12267,43,1,0,0,4,41,0,0,0,0,1,0,2,2,0,0,18356.400,18110,5752,0,0,0,0,0,264711,445,13551854,71235,40,0.039,10,0,0,10,0,0,11,11,10,11,11,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12434773,17708438,0,1065,1.000,85912828428,27852.800,129,232.400,8.800,135,8
1701947891,1.533,0.321,96.510,1.636,0,22660710.400,2029158.400,92772,114009.600,0,0,109451149312,107756367872,4460584960,372888711168,7185,22680.600,2,2,6.400,2.780,3.400,5.950,4407582720,55590359040,0,0,0,173.200,57.400,10344,32064,1391899,0,0,1,100,29,1,129,0,12267,43,1,0,0,4,41,0,0,0,0,1,0,2,2,0,0,16215,17411.600,5356.400,0,0,0,0,0,264136,445,13548842,71235,40,0.039,8,0,0,9,0,0,6,6,5,11,11,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12434773,17724884,0,741,1.000,85913090572,52428.800,116,179.400,4.800,121,5
1701947896,1.455,0.342,96.396,1.807,0,14557184,1616281.600,82576.800,98149.400,0,0,109550624768,107585277952,4460584960,373061201920,7149.200,20127.600,9,4,6.600,3.200,3.480,5.960,4407582720,55590359040,0,0,0,114,56.600,10344,31872,1391898,0,0,1,100,29,1,129,0,12266,43,1,0,0,4,41,0,0,0,0,1,0,2,2,0,0,12632.800,14207.200,5771,0,0,0,0,0,264062,445,13514751,71235,40,0.039,11,5,10,10,0,5,6,6,5,11,11,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12434773,17735759,0,734,1.000,85913246220,31129.600,108.600,147.400,2.800,120,6
1701947901,1.629,0.271,96.348,1.752,0,12093030.400,1570406.400,87002.800,105264.400,0,0,109620695040,107450523648,4460584960,373198270464,7254.600,18599.800,1,1,6.200,3.580,3.550,5.970,4407582720,55590359040,0,0,0,92.400,56.200,10344,31872,1391895,0,0,1,100,29,1,129,0,12267,43,1,0,0,4,41,0,0,0,0,1,0,2,2,0,0,11587.400,12311.400,5700.800,0,0,0,0,0,264062,445,13482353,71235,40,0.039,9,5,10,9,0,5,6,6,5,11,11,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12434773,17745216,0,740,1.000,85913336332,18022.400,99.400,187.800,6.800,126,5
1701947906,1.404,0.326,96.841,1.429,0,17158963.200,2188083.200,98145,115987,0,0,109716131840,107268841472,4460584960,373385056256,7397.200,21666.400,13,2,7.800,4.020,3.640,5.990,4407582720,55590359040,0,0,0,124,67.800,10344,32064,1391894,0,0,1,100,29,1,129,0,12266,43,1,0,0,4,41,0,0,0,0,1,0,2,2,0,0,14005.200,15184.600,5976.400,0,0,0,0,0,263894,445,13447211,71235,40,0.039,15,5,10,4,0,5,6,6,5,11,11,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12434773,17758201,0,740,1.000,85913524748,37683.200,132,235.600,8.800,121,5
1701947911,1.624,0.320,96.542,1.515,0,17416192,1899724.800,97841.200,118480.600,0,0,109825216512,107073945600,4460584960,373569867776,7440.400,20280,2,3,6.600,5.140,3.880,6.050,4407582720,55590359040,0,0,0,129.200,57,10344,32064,1391901,0,0,1,100,29,1,129,0,12267,43,1,0,0,4,41,0,0,0,0,1,0,2,2,0,0,15531,14906.800,5635.800,0,0,0,0,0,263797,445,13401306,71235,40,0.039,11,5,10,9,0,5,6,6,5,11,11,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12434773,17770642,0,355,1.000,85913688588,32768,126.400,211,6,113,5
1701947916,2.114,0.259,96.328,1.299,0,10834739.200,1312358.400,83953.800,102584.400,0,0,109894094848,106951933952,4460584960,373686915072,7297.800,16918.200,14,0,8.800,5.370,3.950,6.060,4407582720,55590359040,0,0,0,92.600,56,10344,32256,1391903,0,0,1,100,29,1,129,0,12269,43,1,0,0,4,41,0,0,0,0,1,0,2,2,0,0,15129.800,11772.200,5967.800,0,0,0,0,0,263636,445,13373282,71235,40,0.039,4,0,10,14,0,0,1,1,0,11,11,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12434773,17778581,0,1064,1.000,85913770508,16384,106,145.200,2.800,129,7
1701947921,2.727,0.256,96.604,0.412,0,95027.200,1890713.600,104051.200,120013.600,0,0,109906259968,106936688640,4460584960,373696925696,7487.600,13153.800,2,0,5.800,6.780,4.270,6.150,4407582720,55590359040,0,0,0,10,74.800,10344,32256,1391897,0,0,1,100,29,1,129,0,12269,43,1,0,0,4,41,0,0,0,0,1,0,2,2,0,0,5567.400,6313.600,5804.800,0,0,0,0,0,263563,445,13373264,71235,40,0.039,3,0,10,14,0,0,1,1,0,11,11,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12434773,17779609,0,741,1.000,85913934348,32768,117.400,267.600,12.800,123,6
1701947926,2.915,0.252,96.182,0.651,0,145817.600,1963622.400,101334.800,116743,0,0,109888245760,106952306688,4460584960,373709320192,7610.600,12989.200,13,1,6.400,6.800,4.310,6.160,4407582720,55590359040,0,0,0,16.800,65,10344,32256,1391895,0,0,1,100,29,1,129,0,12267,43,1,0,0,4,41,0,0,0,0,1,0,2,2,0,0,5768.800,6510.200,5987.200,0,0,0,0,0,263126,445,13377347,71235,40,0.039,6,0,10,10,0,0,1,1,0,11,11,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12434773,17780750,0,734,1.000,85914073612,27852.800,116.600,277.400,12.800,120,5
